paper_id,published_date,primary_category,clean_text
2605.15199v1,2026-05-14 17:59:55,cs.CV,entitybench towards entity-consistent long-range multi-shot video generation multi-shot video generation extends single-shot generation to coherent visual narratives yet maintaining consistent characters objects and locations across shots remains a challenge over long sequences existing evaluations typically use independently generated prompt sets with limited entity coverage and simple consistency metrics making standardized comparison difficult we introduce entitybench a benchmark of 140 episodes 2491 shots derived from real narrative media with explicit per-shot entity schedules tracking characters objects and locations simultaneously across easy medium hard tiers of up to 50 shots 13 cross-shot characters 8 cross-shot locations 22 cross-shot objects and recurrence gaps spanning up to 48 shots it is paired with a three-pillar evaluation suite that disentangles intra-shot quality prompt-following alignment and cross-shot consistency with a fidelity gate that admits only accurate entity appearances into cross-shot scoring as a baseline we propose entitymem a memory-augmented generation system that stores verified per-entity visual references in a persistent memory bank before generation begins experiments show that cross-shot entity consistency degrades sharply with recurrence distance in existing methods and that explicit per-entity memory yields the highest character fidelity cohens d 233 and presence among methods evaluated code and data are available at
2605.15198v1,2026-05-14 17:59:55,cs.CV,atlas agentic or latent visual reasoning one word is enough for both visual reasoning often interleaved with intermediate visual states has emerged as a promising direction in the field a straightforward approach is to directly generate images via unified models during reasoning but this is computationally expensive and architecturally non-trivial recent alternatives include agentic reasoning through code or tool calls and latent reasoning with learnable hidden embeddings however agentic methods incur context-switching latency from external execution while latent methods lack task generalization and are difficult to train with autoregressive parallelization to combine their strengths while mitigating their limitations we propose atlas a framework in which a single discrete word termed as a functional token serves both as an agentic operation and a latent visual reasoning unit each functional token is associated with an internalized visual operation yet requires no visual supervision and remains a standard token in the tokenizer vocabulary which can be generated via next-token prediction this design avoids verbose intermediate visual content generation while preserving compatibility with the vanilla scalable sft and rl training without architectural or methodological modifications to further address the sparsity of functional tokens during rl we introduce latent-anchored grpo la-grpo which stabilizes the training by anchoring functional tokens with a statically weighted auxiliary objective providing stronger gradient updates extensive experiments and analyses demonstrate that atlas achieves superior performance on challenging benchmarks while maintaining clear interpretability we hope atlas offers a new paradigm inspiring future visual reasoning research
2605.15196v1,2026-05-14 17:59:52,cs.CV,refdecoder enhancing visual generation with conditional video decoding video generation powers a vast array of downstream applications however while the de facto standard ie latent diffusion models typically employ heavily conditioned denoising networks their decoders often remain unconditional we observe that this architectural asymmetry leads to significant loss of detail and inconsistency relative to the input image to address this we argue that the decoder requires equal conditioning to preserve structural integrity we introduce refdecoder a reference-conditioned video vae decoder by injecting high-fidelity reference image signal directly into the decoding process via reference attention specifically a lightweight image encoder maps the reference frame into the detail-rich high-dimensional tokens which are co-processed with the denoised video latent tokens at each decoder up-sampling stage we demonstrate consistent improvements across several distinct decoder backbones eg wan 21 and videovae achieving up to 21db psnr over the unconditional baselines on the inter4k webvid and large motion reconstruction benchmarks notably refdecoder can be directly swapped into existing video generation systems without additional fine-tuning and we report across-the-board improvements in subject consistency background consistency and overall quality scores on the vbench i2v benchmark beyond i2v refdecoder generalizes well to a wide range of visual generation tasks such as style transfer and video editing refinement
2605.15195v1,2026-05-14 17:59:51,cs.CV,vggt- recent feed-forward reconstruction models such as vggt have proven competitive with traditional optimization-based reconstructors while also providing geometry-aware features useful for other tasks here we show that the quality of these models scales predictably with model and data size we do so by introducing vggt- which substantially improves reconstruction accuracy efficiency and capabilities for both static and dynamic scenes to enable training this model at an unprecedented scale we introduce architectural changes that improve training efficiency a high-quality data annotation pipeline that supports dynamic scenes and a self-supervised learning protocol we simplify vggts architecture by using a single dense prediction head with multi-task supervision and removing the expensive high-resolution convolutional layers we also use registers to aggregate scene information into a compact representation and introduce register attention which restricts inter-frame information exchange to these registers in part replacing global attention in this way during training vggt- uses only about 30 of the gpu memory of its predecessor allowing us to train with 15x more supervised data than prior work and to leverage vast amounts of unlabeled video data vggt- achieves strong results for reconstruction of static and dynamic scenes across multiple benchmarks for example improving over the previous best camera estimation accuracy on sintel by 77 we also show that the learned registers can improve vision-language-action models and support alignment with language suggesting that reconstruction can be a powerful and scalable proxy task for spatial understanding project page
2605.15193v1,2026-05-14 17:59:37,cs.CV,aligning latent geometry for spherical flow matching in image generation latent flow matching for image generation usually transports gaussian noise to variational autoencoder latents along linear paths both endpoints however concentrate in thin spherical shells and a euclidean chord leaves those shells even when preprocessing aligns their radii by decomposing each latent token into radial and angular components we show through component-swap probes that decoded perceptual and semantic content is carried predominantly by direction with radius contributing much less we therefore project data latents onto a fixed token radius use the radial projection of gaussian noise as the spherical prior finetune the decoder with the encoder frozen and replace linear interpolation with spherical linear interpolation the resulting geodesic paths stay on the sphere at every timestep and their velocity targets are purely angular by construction under matched training the method consistently improves class-conditional imagenet-256 fid across different image tokenizers leaves the diffusion architecture unchanged and requires no auxiliary encoder or representation-alignment objective
2605.15190v1,2026-05-14 17:59:30,cs.CV,raven real-time autoregressive video extrapolation with consistency-model grpo causal autoregressive video diffusion models support real-time streaming generation by extrapolating future chunks from previously generated content distilling such generators from high-fidelity bidirectional teachers yields competitive few-step models yet a persistent gap between the history distributions encountered during training and those arising at inference constrains generation quality over long horizons we introduce the real-time autoregressive video extrapolation network raven a training-time test framework that repacks each self rollout into an interleaved sequence of clean historical endpoints and noisy denoising states this formulation aligns training attention with inference-time extrapolation and allows downstream chunk losses to supervise the history representations on which future predictions depend we further propose consistency-model group relative policy optimization cm-grpo which reformulates a consistency sampling step as a conditional gaussian transition and applies online reinforcement learning rl directly to this kernel avoiding the euler-maruyama auxiliary process adopted in prior flow-model rl formulations experiments demonstrate that raven surpasses recent causal video distillation baselines across quality semantic and dynamic degree evaluations and that cm-grpo provides further gains when combined with raven
2605.15188v1,2026-05-14 17:59:28,cs.LG,futuresim replaying world events to evaluate adaptive agents ai agents are being increasingly deployed in dynamic open-ended environments that require adapting to new information as it arrives to efficiently measure this capability for realistic use-cases we propose building grounded simulations that replay real-world events in the order they occurred we build futuresim where agents forecast world events beyond their knowledge cutoff while interacting with a chronological replay of the world real news articles arriving and questions resolving over the simulated period we evaluate frontier agents in their native harness testing their ability to predict world events over a three-month period from january to march 2026 futuresim reveals a clear separation in their capabilities with the best agents accuracy being 25 and many having worse brier skill score than making no prediction at all through careful ablations we show how futuresim offers a realistic setting to study emerging research directions like long-horizon test-time adaptation search memory and reasoning about uncertainty overall we hope our benchmark design paves the way to measure ai progress on open-ended adaptation spanning long time-horizons in the real world
2605.15187v1,2026-05-14 17:59:18,cs.CV,articraft an agentic system for scalable articulated 3d asset generation a bottleneck in learning to understand articulated 3d objects is the lack of large and diverse datasets in this paper we propose to leverage large language models llms to close this gap and generate articulated assets at scale we reduce the problem of generating an articulated 3d asset to that of writing a program that builds it we then introduce a new agentic system articraft that writes such programs automatically we design a programmatic interface and harness to help the llm do so effectively the llm writes code against a domain-specific sdk for defining parts composing geometry specifying joints and writing tests to validate the resulting assets the harness exposes a restricted workspace and interface to the llm validates the resulting assets and returns structured feedback in this way the llm is not distracted by details such as authoring a urdf file or managing a complex software environment we show that this produces higher-quality assets than both state-of-the-art articulated-asset generators and general-purpose coding agents using articraft we build articraft-10k a curated dataset of over 10k articulated assets spanning 245 categories and show its utility both for training models of articulated assets and in downstream applications such as robotics simulation and virtual reality
2605.15186v1,2026-05-14 17:59:04,cs.CV,vggt-edit feed-forward native 3d scene editing with residual field prediction high-quality 3d scene reconstruction has recently advanced toward generalizable feed-forward architectures enabling the generation of complex environments in a single forward pass however despite their strong performance in static scene perception these models remain limited in responding to dynamic human instructions which restricts their use in interactive applications existing editing methods typically rely on a 2d-lifting strategy where individual views are edited independently and then lifted back into 3d space this indirect pipeline often leads to blurry textures and inconsistent geometry as 2d editors lack the spatial awareness required to preserve structure across viewpoints to address these limitations we propose vggt-edit a feed-forward framework for text-conditioned native 3d scene editing vggt-edit introduces depth-synchronized text injection to align semantic guidance with the backbones spatial poses ensuring stable instruction grounding this semantic signal is then processed by a residual transformation head which directly predicts 3d geometric displacements to deform the scene while preserving background stability to ensure high-fidelity results we supervise the framework with a multi-term objective function that enforces geometric accuracy and cross-view consistency we also construct the deltascene dataset a large-scale dataset generated through an automated pipeline with 3d agreement filtering to ensure ground-truth quality experiments show that vggt-edit substantially outperforms 2d-lifting baselines producing sharper object details stronger multi-view consistency and near-instant inference speed
2605.15185v1,2026-05-14 17:59:04,cs.CV,quantitative video world model evaluation for geometric-consistency generative video models are increasingly studied as implicit world models yet evaluating whether they produce physically plausible 3d structure and motion remains challenging most existing video evaluation pipelines rely heavily on human judgment or learned graders which can be subjective and weakly diagnostic for geometric failures we introduce pdi-bench perspective distortion index a quantitative framework for auditing geometric coherence in generated videos given a generated clip we obtain object-centric observations via segmentation and point tracking eg sam 2 megasam and cotracker3 lift them to 3d world-space coordinates via monocular reconstruction and compute a set of projective-geometry residuals capturing three failure dimensions scale-depth alignment 3d motion consistency and 3d structural rigidity to support systematic evaluation we build pdi-dataset covering diverse scenarios designed to stress these geometric constraints across state-of-the-art video generators pdi reveals consistent geometry-specific failure modes that are not captured by common perceptual metrics and provides a diagnostic signal for progress toward physically grounded video generation and physical world model our code and dataset can be found at
